branch_id,category,total_revenue,transaction_count,avg_revenue_per_transaction,avg_price,avg_qty,latitude,longitude,district,peak_month,first_sale_date,last_sale_date,monthly_revenue,operational_days,daily_revenue,transactions_per_day,competitor_count,nearby_avg_revenue,district_avg_revenue,district_median_revenue,district_branch_count,district_avg_competition,district_encoded,category_encoded
177,Alcoholic Beverages,1531866430.28,492,3113549.65504065,223906.333699187,7.313008130081301,-6.21465276,106.82091144,Setia Budi,1,2024-01-02,2024-03-30,518111268.19692445,89,17211982.36269663,5.52808988764045,11,367356026.5838414,1564378617.563536,50088681.777777776,287,14.264808362369338,7,0
177,Breakfast and Egg Dishes,852215128.14,466,1828787.8286266094,138791.75060085836,7.24892703862661,-6.21465276,106.82091144,Setia Budi,1,2024-01-02,2024-03-30,288238094.4509067,89,9575450.877977528,5.235955056179775,9,28850202.943074767,1564378617.563536,50088681.777777776,287,14.264808362369338,7,2
177,Comfort Food,4897618265.04,816,6001983.167941176,168594.72156862746,9.727941176470589,-6.21465276,106.82091144,Setia Budi,3,2024-01-02,2024-03-30,1656483333.1979733,89,55029418.708314605,9.168539325842696,13,438178054.11168927,1564378617.563536,50088681.777777776,287,14.264808362369338,7,6
177,Fried Food,111343088.08,98,1136153.96,79164.72326530612,3.0,-6.21465276,106.82091144,Setia Budi,2,2024-01-02,2024-03-28,37658706.67950222,87,1279805.6101149425,1.1264367816091954,7,26966700.333622184,1564378617.563536,50088681.777777776,287,14.264808362369338,7,7
177,Indonesian Traditional Food,277696924.15999997,214,1297649.1783177569,162216.52626168224,4.4392523364485985,-6.21465276,106.82091144,Setia Budi,1,2024-01-02,2024-03-28,93923270.7936711,87,3191918.668505747,2.4597701149425286,4,69534390.1428889,1564378617.563536,50088681.777777776,287,14.264808362369338,7,8
177,Seafood,82173866.94,180,456521.483,111038.43077777777,2.8666666666666667,-6.21465276,106.82091144,Setia Budi,1,2024-01-02,2024-03-28,27793027.88504,87,944527.2062068966,2.0689655172413794,10,85175489.15961824,1564378617.563536,50088681.777777776,287,14.264808362369338,7,11
177,Set Meals and Combos,228771668.4,152,1505076.7657894737,201458.48684210525,3.973684210526316,-6.21465276,106.82091144,Setia Budi,3,2024-02-27,2024-03-28,77375662.06773333,31,7379731.238709678,4.903225806451613,11,4140609994.3572693,1564378617.563536,50088681.777777776,287,14.264808362369338,7,12
177,Snacks and Appetizers,155726749.4,334,466247.7526946108,65069.741317365275,4.946107784431137,-6.21465276,106.82091144,Setia Budi,1,2024-01-02,2024-03-28,52670247.241511114,87,1789962.6367816092,3.839080459770115,11,136179155.63844436,1564378617.563536,50088681.777777776,287,14.264808362369338,7,13
177,Steaks and BBQ,377682995.2,204,1851387.231372549,178781.87470588234,5.872549019607843,-6.21465276,106.82091144,Setia Budi,1,2024-01-02,2024-03-28,127740781.93208888,87,4341183.852873563,2.3448275862068964,11,117821309.76425816,1564378617.563536,50088681.777777776,287,14.264808362369338,7,14
177,Tea and Beverages,644485893.4,952,676980.9804621849,69378.08088235294,5.796218487394958,-6.21465276,106.82091144,Setia Budi,1,2024-01-02,2024-03-28,217979451.0566222,87,7407883.832183908,10.942528735632184,20,3472504230.5729814,1564378617.563536,50088681.777777776,287,14.264808362369338,7,15
